Unnamed: 0,date,state,city_or_county,address,n_killed,n_injured,incident_url,source_url
877,"November 17, 2020",Alabama,Madison,100 block of Adelene Ln,0,1,http://www.gunviolencearchive.org/incident/1854379,https://whnt.com/news/shooting-investigation-underway-in-madison-county-2/
878,"November 17, 2020",Louisiana,Slidell,62000 block of N 16th St,1,1,http://www.gunviolencearchive.org/incident/1855212,https://www.wwltv.com/article/news/local/northshore/1-dead-1-hurt-after-suspects-break-into-slidell-area-home-full-of-people-begin-shooting/289-ea0fc851-66c5-4ce5-b1a5-834cceafc689
879,"November 17, 2020",District of Columbia,Washington,1400 block of Montana Ave NE,0,1,http://www.gunviolencearchive.org/incident/1855973,https://mpdc.dc.gov/release/arrest-made-assault-dangerous-weapon-gun-offense-1400-block-montana-avenue-northeast
880,"November 17, 2020",Florida,Plantation,375 FL-7,0,1,http://www.gunviolencearchive.org/incident/1853887,https://www.local10.com/news/local/2020/11/17/police-swarm-shooting-scene-in-plantation/
881,"November 17, 2020",Virginia,Petersburg,Linda Ln and Salem Ct,0,0,http://www.gunviolencearchive.org/incident/1854413,https://www.wric.com/news/crime/police-respond-to-shots-fired-incident-in-petersburg/
882,"November 17, 2020",Indiana,East Chicago,3800 block of Ontario Ct,0,1,http://www.gunviolencearchive.org/incident/1855365,https://www.nwitimes.com/news/local/crime-and-courts/man-charged-in-shooting-that-wounded-1-sent-bullets-flying-into-childrens-apartment/article_e2d1c41d-d5a0-50c8-830c-a0f0e57a73dc.html
883,"November 17, 2020",California,San Francisco,Market St and 5th St,0,1,http://www.gunviolencearchive.org/incident/1854611,https://www.sfexaminer.com/news/sf-police-shooting-reported-on-market-street/
884,"November 17, 2020",Texas,Houston,2851 Wallingford Dr,1,0,http://www.gunviolencearchive.org/incident/1856005,http://www.houstontx.gov/police/nr/2020/nov/nr111820-1.htm
885,"November 17, 2020",Tennessee,Memphis,TN-385 and Ridgeway Rd,0,0,http://www.gunviolencearchive.org/incident/1854496,https://wreg.com/news/traffic-blocked-on-385-westbound/
886,"November 17, 2020",California,San Leandro,1401 San Leandro Blvd,0,0,http://www.gunviolencearchive.org/incident/1855248,https://www.mercurynews.com/2020/11/18/woman-robbed-of-car-at-gunpoint-at-san-leandro-bart-station/
887,"April 10, 2020",Pennsylvania,Philadelphia,1500 block of S Bailey St,1,1,http://www.gunviolencearchive.org/incident/1656086,https://philadelphia.cbslocal.com/2020/04/13/police-identify-man-killed-woman-charged-in-south-philadelphia-police-involved-shooting/
888,"April 10, 2020",Texas,San Antonio,Nacogdoches Rd and Dreamwood Dr,1,0,http://www.gunviolencearchive.org/incident/1659754,https://www.kens5.com/article/news/local/sapd-searching-for-suspect-in-murder-of-46-year-old-man/273-41a4406c-3a4a-4240-85aa-297df107a0f0
889,"April 10, 2020",Florida,Palm Beach Gardens (Riviera Beach),1000 Block of W 26th St,1,1,http://www.gunviolencearchive.org/incident/1656735,https://www.palmbeachpost.com/news/20200422/rsquoi-want-to-see-justicersquo-bail-bondsman-killed-in-riviera-gunfire
